symbol,description,exchange,listedMarket,securityType
DOLPTAX.X,CENTRAL BANK DOLLAR,BMF,BMF,INDEX
EURPTAX.X,CENTRAL BANK EURO,BMF,BMF,INDEX
DOLCM.X,COMMERCIAL DOLLAR,BMF,BMF,INDEX
SELIC.X,SELIC OVERNIGHT RATE,BMF,BMF,INDEX
