symbol,description,exchange,listedMarket,securityType
LRCBFU25X25F26,ROBUSTA COFFEE Sep/2025 BUTTERFLY SPREAD,ICEEA,ICEEA,STRATSPREAD
QCBFU25Z25H26,LONDON COCOA Sep/2025 BUTTERFLY SPREAD,ICEEA,ICEEA,STRATSPREAD
QCBFZ25H26K26,LONDON COCOA Dec/2025 BUTTERFLY SPREAD,ICEEA,ICEEA,STRATSPREAD
